loc,abbrev,year,cases,cases_avg
"VIRGINIA","VA",1956,23616,15690
"VIRGINIA","VA",1957,4944,13665
"VIRGINIA","VA",1958,21533,14258
"VIRGINIA","VA",1959,13801,11877
"VIRGINIA","VA",1960,7396,12820
"VIRGINIA","VA",1961,11709,9989
"VIRGINIA","VA",1962,9660,9623
"VIRGINIA","VA",1963,7377,8961
"VIRGINIA","VA",1964,11973,7077
"VIRGINIA","VA",1965,4086,5614
"VIRGINIA","VA",1966,2287,4210
"VIRGINIA","VA",1967,2346,1995
"VIRGINIA","VA",1968,356,1664
"VIRGINIA","VA",1969,898,1524
"VIRGINIA","VA",1970,2434,1071
"VIRGINIA","VA",1971,1588,1086
"VIRGINIA","VA",1972,77,915
"VIRGINIA","VA",1973,435,437
"VIRGINIA","VA",1974,43,290
"VIRGINIA","VA",1975,43,809
"VIRGINIA","VA",1976,851,1251
"VIRGINIA","VA",1977,2671,1307
"VIRGINIA","VA",1978,2648,1370
"WASHINGTON","WA",1948,10647,8135
"WASHINGTON","WA",1949,12817,9238
"WASHINGTON","WA",1950,3543,10021
"WASHINGTON","WA",1951,18037,10247
"WASHINGTON","WA",1952,5061,11982
"WASHINGTON","WA",1953,11778,13469
"WASHINGTON","WA",1954,21490,12430
"WASHINGTON","WA",1955,10979,14754
"WASHINGTON","WA",1956,12842,14529
"WASHINGTON","WA",1957,16682,13123
"WASHINGTON","WA",1958,10654,13532
"WASHINGTON","WA",1959,14457,12700
"WASHINGTON","WA",1960,13023,13507
"WASHINGTON","WA",1961,8685,12362
"WASHINGTON","WA",1962,20714,13467
"WASHINGTON","WA",1963,4933,12370
"WASHINGTON","WA",1964,19978,11629
"WASHINGTON","WA",1965,7539,8622
"WASHINGTON","WA",1966,4979,7755
"WASHINGTON","WA",1967,5679,3771
"WASHINGTON","WA",1968,598,2399
"WASHINGTON","WA",1969,62,1630
"WASHINGTON","WA",1970,678,692
"WASHINGTON","WA",1971,1133,750
"WASHINGTON","WA",1972,987,753
"WASHINGTON","WA",1973,888,677
"WASHINGTON","WA",1974,79,524
"WASHINGTON","WA",1975,300,423
"WASHINGTON","WA",1976,365,331
"WASHINGTON","WA",1977,483,523
"WASHINGTON","WA",1978,429,497
"WEST VIRGINIA","WV",1948,5496,4101
"WEST VIRGINIA","WV",1949,3637,4475
"WEST VIRGINIA","WV",1950,6133,5102
"WEST VIRGINIA","WV",1951,4524,5248
"WEST VIRGINIA","WV",1952,5722,6443
"WEST VIRGINIA","WV",1953,6223,6011
"WEST VIRGINIA","WV",1954,9612,7287
"WEST VIRGINIA","WV",1955,3973,6821
"WEST VIRGINIA","WV",1956,10903,8001
"WEST VIRGINIA","WV",1957,3394,7587
"WEST VIRGINIA","WV",1958,12125,7498
"WEST VIRGINIA","WV",1959,7538,6885
"WEST VIRGINIA","WV",1960,3528,8201
"WEST VIRGINIA","WV",1961,7842,8277
"WEST VIRGINIA","WV",1962,9970,8633
"WEST VIRGINIA","WV",1963,12505,10893
"WEST VIRGINIA","WV",1964,9321,10446
"WEST VIRGINIA","WV",1965,14827,8752
"WEST VIRGINIA","WV",1966,5609,6323
"WEST VIRGINIA","WV",1967,1496,4507
"WEST VIRGINIA","WV",1968,362,1609
"WEST VIRGINIA","WV",1969,239,603
"WEST VIRGINIA","WV",1970,337,359
"WEST VIRGINIA","WV",1971,583,332
"WEST VIRGINIA","WV",1972,276,331
"WEST VIRGINIA","WV",1973,226,308
"WEST VIRGINIA","WV",1974,234,233
"WEST VIRGINIA","WV",1975,220,232
"WEST VIRGINIA","WV",1976,210,364
"WEST VIRGINIA","WV",1977,269,331
"WEST VIRGINIA","WV",1978,885,293
"WISCONSIN","WI",1948,30415,29671
"WISCONSIN","WI",1949,39881,27071
"WISCONSIN","WI",1950,19386,33476
"WISCONSIN","WI",1951,33418,35552
"WISCONSIN","WI",1952,44278,29637
"WISCONSIN","WI",1953,40799,36032
"WISCONSIN","WI",1954,10302,34705
"WISCONSIN","WI",1955,51365,33227
"WISCONSIN","WI",1956,26782,37867
"WISCONSIN","WI",1957,36888,38801
"WISCONSIN","WI",1958,64000,37167
"WISCONSIN","WI",1959,14972,39290
"WISCONSIN","WI",1960,43191,34871
"WISCONSIN","WI",1961,37401,33693
"WISCONSIN","WI",1962,14793,33783
"WISCONSIN","WI",1963,58107,29114
"WISCONSIN","WI",1964,15425,28038
"WISCONSIN","WI",1965,19843,25506
"WISCONSIN","WI",1966,32023,14161
"WISCONSIN","WI",1967,2131,11209
"WISCONSIN","WI",1968,1384,7514
"WISCONSIN","WI",1969,666,1880
"WISCONSIN","WI",1970,1367,2141
"WISCONSIN","WI",1971,3850,2136
"WISCONSIN","WI",1972,3436,2128
"WISCONSIN","WI",1973,1361,2149
"WISCONSIN","WI",1974,624,2189
"WISCONSIN","WI",1975,1472,1932
"WISCONSIN","WI",1976,4052,1971
"WISCONSIN","WI",1977,2151,1975
"WISCONSIN","WI",1978,1555,1976
"WYOMING","WY",1948,2158,971
"WYOMING","WY",1949,561,1196
"WYOMING","WY",1950,648,1202
"WYOMING","WY",1951,2200,1060
"WYOMING","WY",1952,443,1178
"WYOMING","WY",1953,1449,1160
"WYOMING","WY",1954,1148,1120
"WYOMING","WY",1955,561,1075
"WYOMING","WY",1956,1999,1058
"WYOMING","WY",1957,217,1008
"WYOMING","WY",1958,1365,1035
"WYOMING","WY",1959,900,732
"WYOMING","WY",1960,694,784
"WYOMING","WY",1961,484,577
"WYOMING","WY",1962,476,454
"WYOMING","WY",1963,329,465
"WYOMING","WY",1964,286,413
"WYOMING","WY",1965,750,340
"WYOMING","WY",1966,226,285
"WYOMING","WY",1967,107,229
"WYOMING","WY",1968,55,81
"WYOMING","WY",1969,8,53
"WYOMING","WY",1970,11,42
"WYOMING","WY",1971,85,44
"WYOMING","WY",1972,51,46
"WYOMING","WY",1973,66,44
"WYOMING","WY",1974,17,28
"WYOMING","WY",1975,3,22
